0.280	1.310	-6.200	0.011	1.030	-0.210	1.360	2.170	0.140
0.070	0.580	-0.780	1.270	1.280	0.080	1.410	1.450	-0.380
1.540	2.010	-1.630	0.130	3.120	0.160	1.220	0.990	0.690
-0.440	1.180	-4.320	-0.210	1.230	-0.110	2.460	2.190	1.310
-0.810	0.210	5.730	-2.180	1.390	-0.190	0.680	0.790	0.870
1.520	3.160	2.770	0.340	1.960	-0.160	2.510	3.220	1.350
2.200	2.420	-0.190	-1.380	0.940	0.450	0.600	2.440	0.920
0.910	1.940	6.210	-0.120	0.820	0.170	0.640	0.130	0.970
0.650	1.930	4.380	-1.440	2.310	0.140	0.850	0.580	0.990
-0.260	0.820	-0.960	0.260	1.940	0.080	0.660	0.510	0.880
